provincia,cantón,cargo,gana,partido_num,partido
Azuay,Azuay,Prefectura,Yaku Pérez Guartambel,18,Pachakutik
Azuay,Cuenca,Alcaldía,Pedro Palacios,4-20,Ecuatoriano Unido - Democracia Si
Azuay,Camilo Ponce Enríquez,Alcaldía,Baldor Bermeo,33-62,Juntos Podemos - Participa
Azuay,Chordeleg,Alcaldía,Deifilio Arévalo,2,Unidad Popular
Azuay,El Pan,Alcaldía,Rigoberto Borja,33-62,Juntos Podemos - Participa
Azuay,Girón,Alcaldía,José Miguel Uzhca,35-17,Alianza PAIS - Partido Socialista Ecuatoriano
Azuay,Guachapala,Alcaldía,José Luzuriaga Paida,4-20,Ecuatoriano Unido - Democracia Si
Azuay,Gualaceo,Alcaldía,Gustavo Vera,1-20,Centro Democrático - Democracia Si
Azuay,Nabón,Alcaldía,Patricio Maldonado,4-20,Ecuatoriano Unido - Democracia Si
Azuay,Oña,Alcaldía,Iván Ullauri Coronel,4-20,Ecuatoriano Unido - Democracia Si
Azuay,Paute,Alcaldía,Raúl Delgado,33-62,Juntos Podemos - Participa
Azuay,Pucará,Alcaldía,Luis Yánez,33-62,Juntos Podemos - Participa
Azuay,San Fernando,Alcaldía,Claudio Loja Loja,35,Alianza PAIS
Azuay,Santa Isabel,Alcaldía,Ernesto Guerrero,12-2,Izquierda Democrática - Unidad Popular
Azuay,Sevilla de Oro,Alcaldía,Rolando Calle,4-20,Ecuatoriano Unido - Democracia Si
Azuay,Sigsig,Alcaldía,Pablo Uyaguari Quezada,35,Alianza PAIS
Bolívar,Bolívar,Prefectura,Vinicio Coloma,23-6,Movimiento SUMA - Partido Social Cristiano
Bolívar,Guaranda,Alcaldía,Medardo Chimbolema,18,Pachakutik
Bolívar,Caluma,Alcaldía,Angel Suarez Garcia,21-100,Movimiento CREO - SIARI
Bolívar,Chillanes,Alcaldía,Carmita Naucin,21-100,Movimiento CREO - SIARI
Bolívar,Chimbo,Alcaldía,Luis Prado Velasquez,3-77,Partido Sociedad Patriotica - MINGA
Bolívar,Echeandía,Alcaldía,Patricio Escudero,23-6,Movimiento SUMA - Partido Social Cristiano
Bolívar,Las Naves,Alcaldía,Cynthia Solano,35,Alianza PAIS
Bolívar,San Miguel,Alcaldía,Stalin Carrasco,21-100,Movimiento CREO - SIARI
Cañar,Cañar,Prefectura,Bayron Pacheco,6,Partido Social Cristiano
Cañar,Azogues,Alcaldía,Romel Sarmiento Castro,6,Partido Social Cristiano
Cañar,Biblián,Alcaldía,Guillermo Espinoza Sanchez,20,Democracia Si
Cañar,Cañar,Alcaldía,Segundo Yugsi Tenelema,18,Pachakutik
